vibration_mm_s,temperature_c,pressure_bar,rotational_speed_rpm,oil_viscosity_cst,current_draw_amps,humidity_pct,age_days,maintenance_lag_days,failure_within_7days
2.897,55.92,3.943,1576.5,50.87,11.713,30.4,333,265,0
2.389,66.4,4.185,1607.3,35.61,11.935,61.7,372,71,0
3.018,70.86,4.029,1549.9,43.36,12.129,35.7,1231,316,0
3.718,93.88,4.226,1305.8,44.79,13.894,63.0,1253,20,1
2.313,80.57,4.393,1484.5,45.08,10.506,76.3,581,187,0
2.313,61.65,4.919,1384.4,45.9,10.307,78.5,1166,120,0
3.763,79.86,4.339,1479.7,48.05,14.473,41.8,1742,341,1
3.114,59.53,3.707,1598.0,44.82,11.075,70.5,686,140,0
2.124,85.83,5.07,1530.5,43.16,9.474,47.7,709,303,0
2.934,70.29,4.081,1614.8,42.96,11.03,75.0,1355,203,0
2.129,74.06,4.471,1534.2,41.94,11.34,69.4,928,208,0
2.127,88.26,4.723,1370.2,48.94,15.11,33.7,1733,8,0
2.694,62.13,4.6,1247.9,41.77,13.85,50.4,740,184,0
0.969,61.03,5.047,1514.9,49.23,14.295,46.9,271,295,0
1.12,69.16,4.74,1478.6,45.09,13.64,69.3,711,331,0
2.05,85.38,4.069,1402.3,42.39,13.892,50.5,325,200,0
1.69,59.81,5.589,1329.9,48.09,10.624,64.2,990,63,0
2.751,46.68,4.597,1426.5,41.36,11.603,60.1,1551,349,0
1.774,70.49,4.426,1480.6,48.19,10.02,78.8,798,325,0
1.37,80.52,4.982,1566.6,46.06,11.579,76.9,920,319,0
3.673,87.0,4.625,1518.9,42.02,13.368,51.4,1752,24,1
2.319,70.37,4.7,1660.8,47.64,12.269,66.2,547,155,0
2.554,70.89,5.746,1396.4,47.73,14.623,71.5,1093,220,0
1.36,86.54,4.362,1588.1,50.79,9.717,74.9,908,291,0
2.064,56.3,4.341,1504.7,49.83,13.0,33.4,212,138,0
2.589,71.11,4.558,1569.5,47.46,9.503,45.1,1582,20,0
1.579,76.9,5.036,1456.3,39.36,12.188,46.0,1406,153,0
2.801,79.49,3.747,1607.2,57.24,13.481,51.7,1784,67,0
2.019,69.9,3.517,1529.5,37.98,11.571,38.5,1444,40,0
2.267,75.34,4.206,1432.1,49.75,13.102,54.8,597,14,0
2.019,50.12,3.683,1498.8,47.16,10.081,63.2,48,278,0
3.982,68.42,4.288,1476.0,39.13,8.673,54.9,231,168,1
2.489,79.54,4.751,1548.9,44.38,13.114,63.3,579,133,0
1.654,65.18,4.055,1382.0,44.61,15.488,33.3,1501,198,0
3.158,75.59,3.787,1497.1,51.53,10.008,73.8,950,237,0
1.523,79.47,4.535,1539.5,41.43,14.444,77.0,1113,111,0
2.667,71.57,4.931,1503.3,43.69,12.087,60.9,1755,51,0
0.932,76.7,3.653,1634.7,33.32,9.329,74.1,932,136,0
1.437,65.37,4.91,1577.4,53.67,9.737,36.6,52,254,0
2.657,72.93,4.909,1499.3,39.65,12.032,69.9,1558,114,0
3.091,81.1,4.977,1521.7,46.63,11.191,36.0,422,157,0
2.637,76.57,5.109,1529.6,44.49,9.374,50.4,611,299,0
2.407,69.13,5.601,1540.3,44.51,8.612,46.2,446,263,0
2.259,77.24,4.322,1317.4,49.05,10.307,59.3,961,354,0
1.317,82.15,4.555,1469.8,53.36,12.388,45.1,131,306,0
1.924,54.5,4.292,1351.6,46.26,11.987,61.9,600,98,0
2.131,86.59,4.501,1627.8,48.28,10.998,48.4,1672,120,0
3.346,71.64,5.266,1493.9,46.64,12.404,73.0,374,89,0
2.775,79.25,3.827,1480.7,50.09,14.08,61.7,551,29,0
1.09,86.97,4.069,1589.7,42.69,12.788,40.8,530,229,0
2.759,61.28,5.189,1542.2,50.38,11.757,46.8,1129,138,0
2.192,67.91,5.01,1387.1,50.55,13.856,72.4,387,253,0
1.958,72.11,4.318,1492.9,50.41,10.08,49.3,1682,30,0
2.989,67.16,4.927,1466.5,41.7,11.55,56.8,336,161,0
3.325,92.35,4.671,1325.5,44.16,11.598,62.4,736,155,0
3.245,66.43,5.25,1431.0,46.2,9.526,47.4,1141,322,0
1.829,69.44,4.537,1481.6,38.15,11.16,44.7,1025,116,0
2.253,77.04,5.013,1488.5,52.97,7.85,53.8,1653,190,0
2.765,62.98,5.821,1351.8,44.94,15.824,40.7,896,175,0
3.28,71.04,4.799,1615.2,46.42,10.125,44.2,538,4,0
2.117,78.17,4.525,1489.8,42.11,15.172,33.1,1460,332,0
2.351,71.67,4.861,1503.8,38.37,12.076,45.2,496,11,0
1.615,74.07,4.317,1540.1,41.98,13.13,46.0,1036,58,0
1.543,69.71,5.694,1421.2,46.1,11.022,78.1,1318,320,0
3.15,59.86,4.59,1545.6,48.37,12.416,59.5,508,307,0
3.585,78.22,4.364,1463.3,45.81,13.301,69.4,681,298,0
2.442,92.55,4.082,1410.3,46.73,13.329,32.3,565,249,0
3.303,75.18,5.049,1557.3,43.31,13.55,35.3,781,338,0
2.789,77.25,4.934,1649.2,47.48,11.263,70.7,760,92,0
1.984,81.93,4.251,1572.5,52.41,11.039,61.2,128,318,0
2.789,62.31,4.788,1592.3,48.52,8.812,39.5,1100,110,0
3.73,92.03,3.746,1447.9,49.05,13.046,50.2,1293,305,1
2.471,77.02,4.592,1340.2,46.47,14.165,56.9,146,294,0
3.752,91.32,4.726,1649.0,37.48,15.232,72.2,1427,335,1
0.404,67.67,5.354,1705.5,39.78,12.61,33.0,499,16,0
3.158,93.18,4.115,1654.3,47.27,10.467,59.8,966,219,0
2.57,82.75,3.861,1466.4,44.95,8.606,65.9,560,298,0
2.261,80.53,4.052,1384.5,47.2,14.083,78.9,1223,304,0
2.573,77.34,3.832,1393.4,53.38,8.407,70.4,1607,4,0
0.91,72.51,5.168,1331.6,48.63,11.319,43.8,924,128,0
2.324,87.01,5.274,1489.3,51.29,11.551,65.5,1527,322,0
2.786,76.4,4.66,1660.6,45.47,11.861,68.2,1628,111,0
3.682,55.33,5.111,1485.8,40.96,12.072,66.5,403,23,0
2.085,63.83,4.567,1530.2,44.71,12.276,71.0,976,28,0
1.853,73.14,4.452,1637.6,40.98,7.169,75.2,1233,131,0
2.099,78.1,4.333,1459.6,52.79,12.029,34.9,342,43,0
3.232,74.43,4.345,1703.6,48.95,7.541,35.2,1072,320,0
2.763,87.19,3.726,1699.2,47.6,13.464,69.8,541,206,0
2.076,55.49,4.632,1486.9,51.18,10.89,42.6,1200,215,0
2.911,76.44,4.48,1442.2,34.9,7.686,32.9,511,243,0
2.578,56.82,4.873,1569.7,47.94,10.372,50.1,19,30,0
3.275,82.6,4.547,1465.2,38.45,10.86,71.0,495,265,0
1.938,74.06,4.419,1384.3,44.96,14.381,36.3,355,10,0
2.238,79.2,4.064,1628.1,43.44,12.393,63.6,559,81,0
2.186,66.36,4.536,1621.6,48.31,12.689,30.2,345,155,0
1.329,87.79,4.869,1515.6,46.14,14.362,35.5,1084,165,0
2.737,85.42,3.928,1373.7,51.73,11.808,47.5,688,207,0
2.709,80.84,4.544,1377.0,41.99,13.508,34.2,1791,23,0
2.504,73.7,4.617,1510.7,48.55,13.368,72.3,229,294,0
2.312,80.8,4.141,1450.0,45.81,9.427,73.2,147,178,0
1.368,67.93,4.206,1465.9,36.82,14.946,67.8,1322,331,0
2.163,83.56,4.615,1602.2,40.41,9.159,42.1,1357,49,0
2.226,91.49,3.933,1573.3,44.25,13.835,56.2,1775,6,0
1.858,85.71,4.675,1637.8,50.56,8.966,39.2,332,99,0
2.371,67.7,4.052,1400.9,47.32,13.202,44.1,433,80,0
2.823,78.61,5.031,1465.7,39.16,15.724,55.8,399,240,0
4.009,62.07,5.669,1575.9,44.3,11.574,66.8,1724,323,1
2.64,80.72,4.07,1544.8,55.09,11.487,34.7,836,180,0
2.706,79.51,4.767,1653.2,45.56,13.221,44.8,1359,292,0
2.44,56.3,4.137,1542.1,43.36,11.341,76.3,1233,82,0
0.965,63.38,5.02,1684.8,47.46,15.637,51.5,1435,53,0
2.479,72.17,3.867,1554.0,48.82,12.384,76.9,587,89,0
2.548,71.99,4.74,1606.2,42.72,11.36,79.6,1719,202,0
4.471,62.91,4.064,1467.6,47.51,10.919,56.3,599,30,1
2.346,78.89,4.397,1501.4,43.36,10.134,44.4,1295,192,0
2.741,77.51,3.984,1591.1,48.6,10.744,69.5,1204,99,0
2.472,73.06,4.911,1661.3,45.85,11.299,38.0,1439,348,0
1.565,67.44,4.082,1572.9,47.41,11.025,42.6,757,88,0
3.414,85.49,4.776,1491.7,41.2,10.684,69.2,346,122,0
3.102,91.55,4.328,1637.7,40.89,16.198,51.7,1543,46,1
3.133,70.16,4.443,1280.8,49.73,9.94,40.1,1805,145,0
1.772,68.88,4.574,1357.8,44.6,12.293,62.6,1462,2,0
3.622,79.91,4.119,1568.2,46.43,13.185,66.6,1037,17,1
1.379,71.42,4.605,1501.4,43.47,13.26,36.3,1428,313,0
2.969,73.61,5.265,1560.6,49.49,11.883,43.8,738,326,0
4.252,82.4,4.111,1506.4,41.96,11.519,41.1,1802,80,1
1.708,55.91,5.086,1557.1,44.32,12.903,49.0,1778,152,0
2.047,88.18,5.249,1418.6,48.93,12.533,68.2,380,307,0
2.58,75.73,4.092,1557.0,50.86,11.482,65.7,1716,298,0
2.097,70.89,3.772,1599.4,42.38,8.876,63.1,421,66,0
1.259,74.11,4.651,1622.1,54.8,11.064,30.3,1204,88,0
2.555,74.62,4.226,1701.4,46.57,9.707,37.1,1662,134,0
1.65,57.69,5.434,1524.4,39.79,10.666,41.2,1011,201,0
2.879,89.95,4.517,1527.4,46.85,12.066,43.6,1307,178,0
1.764,75.41,4.099,1347.7,43.09,12.717,37.3,418,338,0
3.74,79.43,3.926,1446.9,47.17,15.561,50.5,356,78,1
1.873,84.52,5.045,1480.7,44.79,10.925,33.8,1726,84,0
2.242,64.79,4.214,1605.0,45.37,13.549,67.5,16,20,0
3.151,79.73,4.522,1438.9,40.44,12.612,69.4,315,164,0
1.515,72.32,4.978,1579.6,49.95,14.592,58.7,533,27,0
2.682,83.47,4.258,1499.8,39.22,13.152,34.5,1040,236,0
3.546,53.73,4.477,1482.3,39.46,9.983,74.5,1489,287,0
1.214,74.01,4.492,1524.9,46.84,8.554,78.3,1487,184,0
2.648,68.97,4.842,1460.9,53.01,12.623,40.1,1805,309,0
2.708,79.32,4.795,1457.1,43.24,10.943,65.2,545,154,0
3.125,79.7,4.39,1329.5,48.5,10.039,72.1,694,122,0
1.51,67.92,4.532,1475.2,50.37,9.465,57.0,69,86,0
1.444,67.88,4.314,1452.0,49.07,12.322,46.2,411,201,0
2.918,73.89,3.761,1448.4,43.44,15.015,53.9,1076,39,0
2.738,66.03,4.629,1541.7,39.54,11.183,55.6,1089,168,0
2.7,83.42,5.446,1565.9,33.96,13.181,50.0,812,69,0
2.777,71.31,4.058,1523.2,43.69,11.795,76.5,919,279,0
1.956,45.93,4.113,1599.5,50.89,9.421,67.2,847,329,0
2.686,71.25,4.065,1557.6,39.38,13.47,42.1,740,353,0
2.734,64.61,4.862,1470.5,48.5,9.811,59.3,1491,327,0
1.929,58.69,4.724,1453.7,40.25,12.043,64.4,1758,26,0
3.993,62.63,4.421,1531.3,45.53,11.317,37.0,1296,344,1
2.879,76.09,4.041,1557.4,48.54,13.786,47.9,439,130,0
1.547,88.29,4.546,1639.8,41.7,9.884,75.3,530,276,0
3.025,78.13,3.718,1619.1,45.85,12.782,58.4,730,294,0
1.72,68.93,4.572,1445.9,42.92,10.32,40.8,273,287,0
3.13,79.56,4.936,1489.8,48.53,10.978,36.1,459,253,0
3.427,70.41,3.874,1567.1,46.18,4.73,55.9,820,84,0
1.843,68.05,3.734,1606.8,45.28,16.184,57.4,1197,8,0
3.271,63.46,5.29,1593.9,52.79,13.101,46.7,568,49,0
2.83,57.48,4.194,1493.6,48.31,10.465,61.5,861,0,0
3.158,71.1,5.068,1374.6,41.55,9.751,33.4,1545,3,0
4.017,76.58,4.423,1400.1,44.57,11.009,37.3,497,3,0
2.304,74.03,4.419,1527.3,44.62,13.434,57.3,795,89,0
1.897,70.84,4.719,1534.2,45.4,8.216,33.1,805,161,0
1.788,65.54,4.058,1390.1,57.62,11.717,74.0,1558,154,0
1.847,81.08,4.566,1504.5,46.85,15.541,37.1,1096,14,0
2.438,61.83,4.309,1563.1,34.82,9.732,63.7,934,364,0
2.773,82.76,3.84,1384.9,42.29,12.161,49.6,992,31,0
2.721,64.98,4.669,1610.5,35.34,16.407,50.0,840,62,0
3.162,67.48,4.368,1462.2,43.35,13.264,68.2,1196,363,0
2.51,60.33,4.421,1625.8,35.06,12.252,55.0,635,107,0
3.663,69.99,3.895,1446.7,40.64,13.013,66.3,603,13,1
2.288,84.75,5.296,1397.3,37.4,11.198,55.3,736,22,0
4.676,80.16,4.938,1454.2,46.92,14.599,59.6,1316,110,0
3.001,84.78,4.982,1490.5,45.0,11.201,68.0,1276,320,0
1.814,80.22,4.347,1461.2,46.51,8.082,60.4,1433,159,0
1.643,63.96,3.635,1478.4,44.48,11.217,60.8,991,40,0
2.886,71.69,5.476,1533.4,38.03,10.067,69.5,367,281,0
2.321,67.2,4.469,1482.9,47.57,11.438,77.5,256,303,0
3.071,88.31,4.126,1493.4,54.61,11.482,48.8,1549,143,0
2.879,63.03,4.708,1329.1,47.05,14.395,58.9,440,287,0
2.442,83.94,5.084,1539.2,42.87,13.391,34.3,1359,152,0
1.823,83.93,4.488,1491.1,37.86,12.527,47.9,1654,81,0
1.288,93.3,5.139,1661.0,40.46,11.994,50.6,435,364,0
2.143,70.9,5.041,1406.0,47.27,9.882,71.8,690,225,0
3.185,82.12,3.962,1319.2,50.37,7.638,55.7,1485,151,0
2.671,97.82,4.163,1561.8,46.3,12.226,66.6,308,258,0
1.503,68.82,4.979,1534.7,49.0,13.589,31.0,1697,317,0
2.639,59.65,3.144,1399.2,48.54,11.783,53.2,1119,78,0
2.808,56.2,4.425,1347.0,47.53,10.93,75.1,409,194,0
1.793,82.13,3.785,1653.7,41.71,12.929,41.2,826,222,0
2.623,56.17,4.262,1641.4,45.87,11.833,31.6,1192,265,0
2.547,71.28,4.351,1251.3,40.76,15.371,51.7,87,229,0
1.586,79.37,4.321,1454.2,45.09,14.465,65.2,3,149,0
2.786,76.85,4.224,1666.4,46.65,13.919,52.7,372,135,0
2.949,79.25,3.951,1452.4,53.39,13.515,53.0,1552,122,0
3.366,77.22,5.646,1450.9,38.45,9.42,63.5,642,357,0
3.343,87.79,5.434,1471.7,47.41,13.326,42.7,1047,109,0
1.398,65.48,3.919,1387.9,52.41,12.753,67.6,98,142,0
1.75,68.23,5.291,1329.5,48.79,13.213,37.7,670,69,0
2.912,67.27,4.3,1605.3,49.16,12.985,49.8,1775,53,0
2.911,83.3,4.565,1315.7,47.94,12.906,62.8,1546,331,0
2.912,84.0,4.468,1524.7,51.49,17.402,71.4,321,39,0
5.582,79.51,4.17,1588.7,39.56,11.848,69.6,534,196,1
2.957,86.83,4.992,1354.9,38.07,13.873,66.1,820,26,0
3.408,63.22,4.563,1407.6,44.97,11.058,48.0,367,329,0
3.263,91.67,4.262,1621.3,34.19,13.581,36.1,1208,298,0
3.021,90.23,3.848,1553.3,51.15,13.879,40.8,417,179,0
2.248,82.36,4.053,1438.3,51.1,12.729,73.2,729,45,0
3.107,92.82,3.679,1620.2,42.83,15.338,72.9,1238,141,0
1.882,58.43,4.506,1620.7,43.15,10.231,77.6,848,319,0
2.311,69.76,3.902,1526.9,44.64,11.026,33.8,670,97,0
2.112,67.65,4.367,1410.0,45.26,12.425,56.8,1234,125,0
2.565,82.21,5.185,1458.7,45.64,13.762,62.4,133,57,0
4.352,64.5,5.1,1528.6,47.79,12.359,65.5,53,176,0
1.006,82.57,4.484,1481.1,44.14,14.572,62.2,741,206,0
3.049,88.71,4.456,1593.9,49.72,10.677,68.5,695,284,0
1.21,81.95,5.44,1347.0,47.23,9.719,48.0,23,153,0
2.122,77.84,4.76,1350.6,41.97,12.616,39.0,1130,26,0
3.371,65.12,4.336,1518.1,51.68,11.846,40.2,1627,322,0
2.551,66.53,3.787,1450.8,38.21,13.086,30.6,1655,162,0
1.638,87.5,4.697,1437.3,44.54,11.945,47.5,460,249,0
1.928,82.79,4.915,1323.2,49.83,11.32,34.6,650,187,0
3.044,74.61,4.184,1502.0,41.38,11.85,46.1,482,333,0
1.916,70.82,4.646,1494.7,46.55,12.058,61.4,120,89,0
2.673,54.74,4.318,1565.3,47.72,11.39,74.7,673,130,0
2.536,64.29,4.408,1506.9,40.7,11.594,72.0,208,297,0
1.979,94.11,3.256,1486.7,44.64,11.193,42.6,318,12,1
4.215,62.2,4.389,1617.7,44.22,13.713,36.7,338,28,0
3.007,76.89,4.985,1368.8,42.24,12.388,39.7,155,264,0
0.88,85.07,4.184,1553.6,56.51,16.514,78.5,1799,31,0
2.649,62.45,4.526,1332.9,41.18,12.321,57.5,868,149,0
1.971,76.85,4.122,1416.2,50.02,10.898,39.1,1179,85,0
3.182,84.38,4.68,1378.7,43.04,17.341,72.0,394,57,0
1.866,75.12,4.392,1578.2,39.57,12.827,49.8,505,56,0
2.408,103.68,4.03,1493.5,45.51,13.98,75.0,971,24,0
2.904,58.31,5.166,1498.6,48.25,13.184,43.0,313,189,0
3.193,85.59,4.964,1389.3,49.6,13.246,49.7,1822,75,0
1.54,73.27,4.198,1470.0,52.81,13.071,55.2,1283,338,0
2.232,82.72,4.749,1423.7,59.73,9.796,74.6,1181,224,0
2.12,79.41,4.769,1538.3,46.25,12.735,73.4,14,182,0
